"spec_id","module_tag","module_role","subunit","title","requirement","acceptance_criteria","implementation_status","mapped_code_symbols","mapped_confidence","mapped_consistency_score","mapped_problems","index_status","assumptions","last_indexed_at","mapped_test_cases"
"A1001","UI","frontend","calculation_ui","Calculator Page Layout","When the user opens the Calculator page, UI-ui.layout shall display a two-column layout with the input card on the left, the results panel on the right, and the Calculate button at the bottom-right of the input card.","When the page loads, the input card and results panel are visible in the specified positions and the Calculate button is rendered at the bottom-right of the input card.","Incomplete","","","","","unmapped","","",""
"A1002","UI","frontend","calculation_ui","Input Field Arrangement","When the user views the input card, UI-ui.input_fields shall render fields in this top-to-bottom order: sex, age, height_cm, weight_kg, activity_level, goal, and macro_preset, with labels and helper text beside each field.","When the input card is rendered, all seven fields appear in the defined order with visible labels and helper text.","Incomplete","","","","","unmapped","","",""
"A1003","UI","frontend","calculation_ui","Macro Preset Guidance","When the user selects a macro preset option, UI-ui.preset_help shall update a preset guidance panel below the selector to show target ratio and plain-language description for the selected preset.","When the user changes preset from Balanced to High Protein or Low Carb, the guidance panel updates immediately with the selected preset ratio and description.","Incomplete","","","","","unmapped","","",""
"A1004","UI","frontend","calculation_ui","Pre-Submit Confirmation Dialog","When the user clicks the Calculate button with a valid form, UI-ui.submit_dialog shall open a confirmation dialog centered on the page and display a summary of entered profile values with Confirm and Cancel actions.","When the user clicks Calculate on a valid form, the confirmation dialog opens with profile summary lines and both Confirm and Cancel actions.","Incomplete","","","","","unmapped","","",""
"A1005","UI","frontend","calculation_ui","Submit Request Workflow","When the user clicks Confirm in the confirmation dialog, UI-ui.submit_flow shall send one POST request to `/api/v1/nutrition/calculate`, close the dialog, and show an in-card loading state until a response is received.","When Confirm is clicked once, one POST request is sent, the dialog closes, and loading state is visible until the request completes.","Incomplete","","","","","unmapped","","",""
"A1006","UI","frontend","calculation_ui","Success Result Rendering","When the user receives an HTTP 200 response, UI-ui.success_render shall populate the results panel with calories_per_day, protein_g, carbs_g, fat_g, and a calculation timestamp block.","When a 200 response arrives, the results panel shows all five values using response data and the timestamp block becomes visible.","Incomplete","","","","","unmapped","","",""
"A1007","UI","frontend","calculation_ui","Validation Error Feedback","When the user receives an HTTP 422 response, UI-ui.validation_feedback shall map each server field error to its matching input field and display an error summary banner at the top of the input card.","When a 422 response contains field errors, matching input fields display error text and the summary banner lists the same fields.","Incomplete","","","","","unmapped","","",""
"A1008","UI","frontend","calculation_ui","Rate Limit Feedback","When the user receives an HTTP 429 response, UI-ui.rate_limit_feedback shall show a cooldown banner above the form with retry_seconds and enable a Retry action when the countdown reaches zero.","When a 429 response includes retry_seconds, the banner countdown matches retry_seconds and the Retry action becomes enabled at countdown completion.","Incomplete","","","","","unmapped","","",""
"A1009","UI","frontend","calculation_ui","Server Error Recovery UX","When the user receives an HTTP 500 response, UI-ui.server_error_feedback shall open an error modal containing a request_id message, keep current form values visible, and provide Retry and Close actions.","When a 500 response arrives, an error modal shows request_id, form values remain present, and Retry and Close actions are available.","Incomplete","","","","","unmapped","","",""
"A1010","API","api","calculation_api","Dependency Registry Handshake","When the system starts the FastAPI application, API-api.startup_registry shall run a startup handshake that verifies CORE calculator service, DATA food provider adapter, and OBS metrics recorder are registered and callable.","When application startup completes, handshake status for CORE, DATA, and OBS is recorded as ready or degraded in startup state.","Incomplete","","","","","unmapped","","",""
